226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.4796504486178036,-0.5719859451918593,0.5449050552613801,-0.4557161724676979,-0.4537237403006713,-0.455211410175428,-0.43341646556441704,-0.479659076846925,-0.4135409307367479
-0.5626923943892252,-0.7143803555613957,-0.2696885895468394,-0.6425363466441807,-0.6416482749308797,-0.6418966377171242,-0.6335483407943014,-0.5626933547828239,-0.6172750953225867
-0.5805133600396328,-0.6346342204260786,0.30954843631074946,-0.5421041160691791,-0.5404176116940059,-0.5417988093130595,-0.522948084220725,-0.5805129315678753,-0.5071539129449959
-0.39279888946796226,-0.7157363379372033,-0.19851858198736072,-0.6040597744032603,-0.6030619294410907,-0.6026998379811227,-0.5954301195848173,-0.3928041084024255,-0.5725017931971761
-0.3515056874858681,-0.5713490500178998,0.4036785152688691,-0.43939995700613343,-0.4376132727194829,-0.43837379548629907,-0.4207178677479837,-0.35150352679123875,-0.3958516473145186
-0.46205771792039196,-0.6135489163520766,0.5149745375401182,-0.4868368208813383,-0.48485927916605687,-0.4861015020236985,-0.46524145726614574,-0.4620560574186364,-0.44474525813949717
-0.4535223803474777,-0.6390523210516228,0.2730650380347768,-0.522452635932647,-0.5208139578869505,-0.5216030381422587,-0.5051090437700168,-0.45353297859175856,-0.48435738824201946
-0.36064970316114686,-0.5606439033970271,0.5020172185085021,-0.4258071252206356,-0.42388305546188787,-0.4248524047022295,-0.4053413953655276,-0.36064534092315315,-0.3808049702571956
-0.6546323323233942,-0.5759712994943228,0.3177467416258575,-0.5106129540825584,-0.5089567248575914,-0.5108415422308568,-0.4905893118266065,-0.6546374211112487,-0.47760525932597353
-0.49517204959434924,-0.6597751328033936,0.11607255211935064,-0.5583934711380654,-0.5569728774853975,-0.5576507269845747,-0.5433708026446814,-0.49517386462071533,-0.5243092820200298
-0.9747041269496792,-0.9424869372361806,0.5835651393781096,-0.8432692952998113,-0.8409742061482078,-0.8434069131768189,-0.8159353721662524,-0.9747091944066328,-0.8159775216666756
-0.813042316624217,-0.8107552176263679,0.3488795914747729,-0.7242582294527105,-0.7223968829017886,-0.7242449217799348,-0.7023746512483291,-0.8130491275832199,-0.6959330827351514
-0.8268813518934006,-0.7881003635945141,0.3721218690817456,-0.7076585067776457,-0.7057789029360901,-0.7077880609748348,-0.6852308713633386,-0.8268933300334118,-0.6792954487846707
-0.9999999999999999,-0.9413962538929204,0.5670847099436931,-0.8487251832753624,-0.8464557294855772,-0.8489739253913967,-0.8214346589634787,-1.0,-0.8224707830204451
-0.8354594593507632,-0.8305466342421836,0.36751532800064823,-0.7429537836306828,-0.7410517413320408,-0.7429566733095732,-0.7205545936538409,-0.8354628140081674,-0.7150191723788311
-0.8757203061472969,-0.8662338344584994,-0.6184314779428322,-0.8498890657163249,-0.8494171326504085,-0.8500014063999196,-0.8440732400936583,-0.8757270139834179,-0.8403380378917393
-0.9031453150908818,-0.8363792908726053,-0.23147421792529688,-0.804272769168187,-0.803251529547998,-0.8045834416637367,-0.7915384546376123,-0.9031524563791611,-0.7887586761081419
-0.8060531915827474,-0.6529154909356163,-0.175749223139411,-0.6369834697711472,-0.6360050963494921,-0.637588258752432,-0.6240793404444285,-0.8060574186363074,-0.6172157715062316
-0.8574288717679588,-0.8514230371571807,-0.3853785913674759,-0.8178438650349893,-0.8170381022417698,-0.8179181556522012,-0.8081888237985448,-0.8574279173369632,-0.8036705263101125
-0.8524674104888383,-0.83845421730845,-0.30448341930204803,-0.8008743339897858,-0.7999581733848544,-0.8009712471183955,-0.7898653437278526,-0.8524780348966713,-0.7851237440878424
-0.8601588742657046,-0.8225404550964853,-0.24975635699125653,-0.7860435421226081,-0.7850578811415041,-0.7862292767285943,-0.7740134028294862,-0.8601658210617499,-0.76953775960911
-0.5820658372376964,-0.7156095429210003,-0.3941004157335435,-0.6563632587595694,-0.6556582542762877,-0.655809608605308,-0.6493329984121146,-0.5820752382130925,-0.6338426193082842
-0.9122236677790058,-0.9014522452437196,-0.52701757496094,-0.8782855782375344,-0.8776552363609572,-0.8784079486228669,-0.8705828526316733,-0.9122323969805717,-0.8683119138402463
-0.6139126180324097,-0.7184937931563613,-0.20884952250739774,-0.6517632519661154,-0.6507837889210608,-0.6513167864626114,-0.6412545191936772,-0.6139091696572208,-0.6269826289079563
-0.626280384744887,-0.7124596501127456,-0.2435810221262329,-0.6520413526244966,-0.6511175778930587,-0.651672441442968,-0.6420125774879114,-0.6262838757579507,-0.6282176429029839
-0.8560219513918329,-0.8588447396601154,-0.2410896505004414,-0.813000939369363,-0.8119772183876928,-0.8130294250917811,-0.8008818595304524,-0.8560202945180052,-0.7962981938594457
-0.7140557888671226,-0.8162471681181961,-0.5195017270183607,-0.7708951582379191,-0.7703082954698277,-0.7705164268190109,-0.7648539055701584,-0.714066947160005,-0.7547014124461366
-0.8370795330750613,-0.8272321856079783,-0.15013491199974405,-0.7778817438302881,-0.7767453983306678,-0.7779452033962901,-0.7643560092940638,-0.8370869941838881,-0.7589673341494851
-0.840213567898951,-0.8534699936831518,0.8623972671744622,-0.7263028945716659,-0.723655286133756,-0.7261983792255811,-0.695372704518745,-0.8402116074743224,-0.6899683426543632
-0.3006411576918291,-0.899372566499749,0.6873966697282672,-0.6654789927713183,-0.6630452496201578,-0.6629593400242979,-0.6426001848047439,-0.300643484717238,-0.6161964804797678
-0.4640730843741927,-0.9369193792397709,0.030956177073882873,-0.7751515275222451,-0.7736635149902045,-0.7732223234727753,-0.7620549210991396,-0.46408241554263097,-0.7422110525662944
-0.5296688617104619,-0.8230723414378794,0.1329347761229298,-0.6919979419046848,-0.6904399921012829,-0.6907713376968441,-0.6764661026832572,-0.5296683578765005,-0.6590013105170339
-0.558025449782761,-0.8944487458558655,0.5140464512695258,-0.7262322175757626,-0.7240634096500949,-0.7248198916739799,-0.7039356233571665,-0.5580219032297984,-0.6876169622970181
-0.201454624652306,-0.7040142546341087,-0.21088493730408853,-0.5570017141522183,-0.5560258509125108,-0.5548888135207709,-0.550354807166118,-0.20146021531988623,-0.5199301057581853
-0.6313617254469636,-0.9129804000212421,-0.3492822777675231,-0.8176299064928457,-0.8167230536353179,-0.8165212326013005,-0.8094941194412796,-0.6313729736418761,-0.7962226908204483
-0.028806831982453263,-0.620191526605983,-0.03733485357009403,-0.4439344582911894,-0.4427568425591776,-0.44140852075694836,-0.43586109142452156,-0.028802128449449294,-0.3985212190504953
-0.5118076011056285,-0.7875604326833405,-0.26271607756344584,-0.6890090101808175,-0.688058756621078,-0.6878755038181051,-0.6804178740277567,-0.5118178443261974,-0.6622695134907751
