Condition,Metric,Initial,Final,Std_Final,Reduction_%,Trend
C1,g_loss_mean,-0.6975841784761065,-0.6894672619444984,0.4091721228469139,-1.1635752045494814,✗ Moderate degradation
C2,g_loss_mean,-0.9931375644657584,-1.1152100137301855,0.29255013446293393,12.29159520615796,✓ Significant improvement
C3,g_loss_mean,-0.49758777966988943,-0.5687704206932158,0.14542298327705724,14.305544455000582,✓ Significant improvement
C4,g_loss_mean,-1.9780016543698455,-2.339313768205188,0.09917750178051075,18.26652232757863,✓ Significant improvement
C1,d_loss_mean,0.33659469476413156,-0.049942362144411986,0.009328182679142937,114.83753693129628,✓ Significant improvement
C2,d_loss_mean,0.3510697714718325,-0.07411171391251536,0.012021500674257397,121.11025213073965,✓ Significant improvement
C3,d_loss_mean,0.35322953455504924,-0.08025642273326708,0.009852409720029485,122.72075658519417,✓ Significant improvement
C4,d_loss_mean,0.3515287831070878,-0.07839045405742663,0.006069136340567735,122.2998678414183,✓ Significant improvement
C1,emd_mean,0.09716892232417156,0.0344234862982141,0.00529141895113349,64.57356377446311,✓ Significant improvement
C2,emd_mean,0.11257703899096559,0.03642062774490903,0.007067166432943668,67.64826285062284,✓ Significant improvement
C3,emd_mean,0.11156439372699088,0.03899676195726558,0.005198036208171956,65.04551259186286,✓ Significant improvement
C4,emd_mean,0.07370743351719085,0.0382633797503049,0.0036829299084184417,48.08748870440496,✓ Significant improvement
