226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.11742569,-0.835517,0.4745169,-0.60730565,-0.5934783,-0.75051486,-0.5800363,-0.13166574,-0.541323
-0.8140178,-0.895576,0.34426856,-0.7988452,-0.7866154,-0.7880637,-0.77867174,-0.8073479,-0.7627077
0.94055873,0.085307315,-0.116203584,0.33016044,0.2890954,0.36129752,0.27766323,0.93898374,0.4010858
0.79594815,0.002748677,0.119507246,0.1872881,0.17584746,0.17239286,0.14447373,0.80651355,0.20906548
-0.639256,-0.9144473,0.10329345,-0.7857421,-0.78224474,-0.7845576,-0.77098197,-0.64088386,-0.7524395
-0.5911803,-0.90998095,0.23236285,-0.75794005,-0.7618724,-0.7337518,-0.75225484,-0.5808087,-0.73002183
-0.26204854,-0.9339787,-0.7966971,-0.791801,-0.8009093,-0.79043406,-0.8081322,-0.25486642,-0.7744326
-0.4432892,-0.7177483,-0.16379862,-0.6162116,-0.6180744,-0.63547647,-0.6106754,-0.4498827,-0.5773485
-0.32993716,-0.81180745,0.7524836,-0.59372836,-0.58733225,-0.7194442,-0.57136613,-0.32555687,-0.5423229
-0.7960937,-0.94282925,-0.31215414,-0.8801992,-0.8807516,-0.86549675,-0.8731459,-0.7977746,-0.8601368
-0.38903517,-0.81211174,0.69379157,-0.6057323,-0.60945374,-0.69345725,-0.59064186,-0.37654963,-0.5693318
-0.59290385,-0.9444576,-0.2326615,-0.82212025,-0.81864506,-0.8347813,-0.8139319,-0.59022856,-0.80112624
-0.8819295,-0.8526249,0.46001208,-0.7673391,-0.75910866,-0.75543493,-0.74407685,-0.87738574,-0.7388763
-0.13818337,-0.84165657,0.821403,-0.5861198,-0.5796341,-0.7523437,-0.56467986,-0.13262394,-0.5316824
-0.19692779,-0.789991,0.5383924,-0.56647265,-0.5730808,-0.7303194,-0.55646,-0.19593881,-0.5196904
-0.16609912,-0.76621026,0.5332412,-0.5491909,-0.54879135,-0.6715904,-0.5335654,-0.1714176,-0.49348605
-0.55924886,-0.9180435,0.46202382,-0.7509695,-0.7412507,-0.76408714,-0.7300446,-0.5558189,-0.71707624
