226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.041011237,0.15029031,-0.5180819,0.2719592,0.22998558,0.46860278,-0.8045912,-0.6363673,-0.6178026
0.4691184,-0.0130887525,0.30791384,0.40518516,0.37683263,0.5480193,-0.379099,-0.49604365,-0.4906255
0.33387142,0.117246374,0.2744051,0.39597455,0.37020084,0.5309305,-0.5600026,-0.4922794,-0.48104322
0.5037164,0.34343588,-0.3967901,0.4904985,0.4637746,0.63294744,-0.31705317,-0.3699735,-0.35184523
0.5154212,0.17929374,-0.055651817,0.4544489,0.41649303,0.54418445,-0.30144823,-0.4331717,-0.43098718
0.04843317,0.23464434,-0.27921414,0.3690201,0.31630015,0.52986616,-0.8012381,-0.5591437,-0.5437846
0.4524205,-0.038371257,0.1533102,0.37960738,0.35108897,0.5311229,-0.41096008,-0.52232957,-0.52597344
0.34712029,-0.16919032,0.12444923,0.30446494,0.29601467,0.5132012,-0.5930357,-0.60411465,-0.57837963
0.6813972,0.09275591,-0.8066534,0.40601727,0.3874419,0.56937456,-0.008620034,-0.48692653,-0.50085324
0.6127181,0.01728831,-0.83643234,0.35430914,0.3158594,0.5369127,-0.13287708,-0.5722598,-0.5839446
0.060858496,0.20784698,0.680039,0.4249671,0.39259365,0.54768956,-0.77325845,-0.44754985,-0.41833454
0.4451476,-0.19869497,0.21605852,0.31883,0.32151228,0.517139,-0.46775225,-0.5496901,-0.5420548
0.5990666,0.4563992,0.58088315,0.6046685,0.5901092,0.68057185,-0.15588658,-0.10198045,-0.086278185
0.39762908,0.20330921,0.8543619,0.5004845,0.48454675,0.55526537,-0.46666634,-0.3304285,-0.3121509
-0.08653063,0.031339563,0.80272627,0.33705536,0.34425613,0.49300605,-0.84517574,-0.5512017,-0.5123629
0.63599163,0.2892017,0.4647322,0.54291165,0.52426124,0.6133925,-0.081697404,-0.21760558,-0.20686802
0.4751292,0.30103874,-0.50613606,0.45793593,0.4415139,0.5984442,-0.36986622,-0.42325652,-0.40937114
0.32730195,0.30848798,-0.34091303,0.42282608,0.3917977,0.5774498,-0.5759921,-0.4584152,-0.44772962
0.47136855,0.0039291778,0.2865813,0.40129417,0.39300403,0.54429674,-0.3821402,-0.48060235,-0.4840997
0.07930592,0.26799193,-0.08266652,0.39777234,0.36823484,0.550329,-0.77746916,-0.50232935,-0.47663853
0.27366367,0.16200858,0.20965257,0.4175564,0.3786739,0.5424912,-0.5993854,-0.48830643,-0.4674814
0.3835766,0.46440563,-0.07947651,0.544703,0.52471733,0.6724026,-0.4667471,-0.24448007,-0.2290954
0.65232325,0.030584963,-0.2723282,0.42693552,0.40756327,0.59038055,-0.076425426,-0.43968403,-0.4540042
0.953414,0.722978,-0.16345817,0.8123654,0.796339,0.86772454,0.89004976,0.4923785,0.45785767
0.6126969,0.1321082,-0.521596,0.4216242,0.40663922,0.5676013,-0.13659641,-0.46927774,-0.47806892
0.6353557,0.23679543,0.28089595,0.5211159,0.51994216,0.60484594,-0.07461726,-0.2843324,-0.2815455
0.70872843,0.06993937,-0.42601892,0.45136428,0.42741156,0.590785,0.12954256,-0.40028462,-0.42511734
0.015869344,0.088636465,0.72120094,0.3694898,0.33161196,0.5195558,-0.7833305,-0.5202268,-0.48543903
-0.5277023,0.06356336,0.8153962,0.30554092,0.29518932,0.5058951,-0.9572814,-0.6079869,-0.559115
0.39800695,0.48366752,0.04621274,0.5548531,0.5457731,0.6970822,-0.4421189,-0.20187354,-0.17669183
0.38950202,0.40684932,-0.18874778,0.50822866,0.49379385,0.6313821,-0.49899858,-0.3161535,-0.29277298
0.56333816,0.43027067,0.36698464,0.5814242,0.5624853,0.66850424,-0.21618113,-0.16696915,-0.15369895
0.00561595,0.14351027,-0.5675372,0.26609403,0.21299985,0.44637936,-0.82184076,-0.6793645,-0.66813993
0.6212565,0.37254345,0.5892674,0.57652736,0.5707171,0.6326629,-0.08629583,-0.16670533,-0.15667371
0.026234478,0.14063182,0.7568481,0.40700716,0.38350454,0.50317097,-0.7934022,-0.4761131,-0.4491942
0.25719625,0.2848879,-0.2931664,0.42360553,0.37758285,0.5639827,-0.6298354,-0.4763547,-0.45795134
0.5087513,0.18848872,0.23356193,0.45825213,0.4444681,0.53873247,-0.31746092,-0.38925484,-0.38973284
