226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.15748791,0.09601872,0.6765595,0.11340226,0.11822278,0.02127437,0.0679607,0.13667403,0.11548568
-0.61826026,-0.4330602,-0.57945657,-0.5116681,-0.50633436,-0.5466832,-0.25672746,-0.45981973,-0.5020839
0.02771523,-0.07029089,0.28630015,-0.01186935,-0.006733014,-0.004694443,0.023150943,0.0023929654,-0.014394561
-0.12467321,-0.009145351,0.339139,-0.018275633,-0.014675965,-0.06510144,-0.07244586,-0.008497935,-0.028229108
-0.13666776,0.32488304,0.10683105,0.16582641,0.165282,0.14470331,-0.06992198,0.1603199,0.15914162
0.14330715,0.0410331,0.79415303,0.096603565,0.10179039,0.016622715,0.13250546,0.10824466,0.094895706
-0.30006096,0.3479227,-0.15396927,0.090094805,0.0925215,0.14664038,-0.13237686,0.07370716,0.09716906
0.34051108,-0.04120163,-0.7772132,-0.0134496335,-0.003128257,0.06491423,0.3077242,0.008787406,0.016144823
0.053829487,-0.17317045,-0.77111775,-0.16781959,-0.15892357,-0.14310046,0.042146377,-0.14817233,-0.19081068
-0.34888607,-0.27205342,-0.1407085,-0.26347178,-0.26107085,-0.27461648,-0.17019884,-0.24441694,-0.24756305
-0.8914566,-0.25673586,0.4330909,-0.2973384,-0.29579815,-0.3039374,-0.60512376,-0.27884954,-0.27353063
0.25393873,-0.0045679007,-0.78446907,-0.026738292,-0.017642306,0.044402726,0.22601905,-0.015944574,-0.0001836099
-0.49080485,0.189845,0.45719653,0.042141132,0.044301428,0.08664764,-0.21908946,0.0403542,0.027251687
-0.1148823,0.48255613,0.6610197,0.30738464,0.309719,0.31074703,-0.06882765,0.3203018,0.34608048
-0.6523959,-0.014476692,0.5448661,-0.116893865,-0.1139344,-0.12691298,-0.31379265,-0.086913586,-0.115269504
0.37315086,0.13681778,0.32304892,0.16141452,0.16385083,0.11193562,0.28180227,0.19354123,0.16226678
-0.43601286,-0.37750012,-0.06510592,-0.30201265,-0.297843,-0.30613145,-0.13446605,-0.21263096,-0.27478346
0.20084232,0.1744364,0.8341276,0.17679209,0.18528093,0.12315573,0.16529027,0.19138394,0.17554314
-0.05401166,0.31122714,-0.07478176,0.121373944,0.123454645,0.16657901,-0.026095966,0.117153905,0.10244433
-0.78965986,-0.0228956,0.69815636,-0.08904648,-0.08610278,-0.061120447,-0.43446508,-0.084014446,-0.06934835
-0.093126886,-0.19572419,-0.03764824,-0.120191105,-0.11345691,-0.090495825,-0.040594503,-0.09652101,-0.11023821
-0.43944988,-0.5675615,-0.6683701,-0.54571605,-0.5426229,-0.5476978,-0.16512477,-0.48126492,-0.52152085
0.16058451,-0.0032684426,-0.7647418,-0.031113356,-0.022684503,-0.00042107792,0.13275541,-0.01816137,-0.033424385
0.08874524,-0.1757036,0.9157934,0.008654608,0.014352871,-0.08253985,0.09131167,0.031406745,0.013475848
0.25122103,0.14287017,0.5837189,0.15664339,0.16095372,0.0631981,0.20329854,0.17150716,0.15776297
-0.30117583,-0.3276295,0.04965404,-0.25757554,-0.25265485,-0.25129658,-0.14582458,-0.22763152,-0.22683935
0.07403685,-0.11564975,-0.77644163,-0.12686437,-0.118863046,-0.09914956,0.034599524,-0.11575837,-0.15377139
-0.092523985,0.34937045,-0.14371246,0.09469104,0.09925341,0.19221517,-0.020765252,0.11366268,0.116472095
-0.16772251,0.2975544,-0.1484533,0.07009701,0.07222642,0.1192808,-0.11793049,0.079025775,0.08837806
-0.14042687,0.06460754,0.4192781,0.013455792,0.014917169,-0.012273557,-0.07377341,0.013096947,0.012139918
0.36450383,0.11716896,0.62370574,0.16625693,0.17397717,0.083891876,0.26322725,0.19311309,0.16753677
-0.64115894,0.09981753,0.28075358,-0.06369067,-0.0620471,-0.016885556,-0.3194456,-0.06557783,-0.078882106
0.11919784,-0.12258865,0.4983979,0.0050821155,0.013750908,0.11255647,0.08599327,0.04015161,0.0038401245
-0.46206212,-0.4050488,-0.4083901,-0.40242907,-0.40031436,-0.39607674,-0.20205007,-0.37552297,-0.39045602
-0.15162331,0.35874102,0.5323238,0.18410528,0.1843366,0.20374072,-0.07062244,0.17092845,0.19407716
-0.03973436,-0.13239016,0.24270187,-0.05057475,-0.045758612,-0.097572416,-0.016796412,-0.026504068,-0.046482045
0.09523728,0.14067361,0.51032126,0.10629403,0.10891594,0.0299213,0.08562589,0.10870452,0.10430425
-0.113625966,0.45042667,0.54345715,0.2600926,0.26117536,0.26983958,-0.07214708,0.26771975,0.2826973
0.12995337,-0.18240699,-0.77674615,-0.18206103,-0.17356962,-0.15274554,0.06407352,-0.17441761,-0.20481181
-0.035771687,0.04467758,0.6470478,0.03854469,0.042907413,-0.026465071,0.0025262835,0.050034497,0.03719821
-0.07737998,0.055587016,-0.15554914,-0.03350928,-0.031240746,-0.064862184,-0.07252909,-0.017501518,-0.009354302
-0.2867886,0.3443419,-0.103250556,0.10611622,0.106621996,0.14440094,-0.14102326,0.07849271,0.10291746
0.33830053,-0.054773297,-0.73252064,-0.010798881,-0.005524724,0.031826165,0.21777219,-0.0037708997,-0.003679413
0.14794622,-0.14251868,-0.7194301,-0.115050815,-0.1104914,-0.084561795,0.11080269,-0.09483249,-0.124236345
-0.39090785,0.32704365,0.28166798,0.12579462,0.12618513,0.17274824,-0.19484392,0.1406456,0.114429444
0.11032506,0.3228604,-0.049468175,0.1615098,0.1644117,0.24763879,0.055422045,0.1675983,0.15665996
-0.2956252,0.27019554,0.57681125,0.11534163,0.11702411,0.14418316,-0.11595429,0.10692172,0.10753531
-0.522063,-0.1365641,-0.37414196,-0.28105783,-0.27778098,-0.2597754,-0.24818486,-0.24757136,-0.24757344
0.0939455,0.14780761,0.8227458,0.13857618,0.14389913,0.07306117,0.09614175,0.1534156,0.13618983
-0.39016303,-0.10731106,0.45784456,-0.112246916,-0.10840105,-0.08148063,-0.17191572,-0.09408999,-0.069740325
0.12503253,-0.007139684,-0.378385,-0.025861777,-0.02188625,-0.021717884,0.06318963,-0.006520276,-0.04009215
-0.6777743,-0.088705175,-0.45381612,-0.34566027,-0.3417564,-0.36702555,-0.33506534,-0.32215214,-0.33453175
0.84286153,0.4855634,0.00092993095,0.45619744,0.45602345,0.38035515,0.5468564,0.43716875,0.43687308
-0.8723,-0.20330234,0.6935266,-0.23065485,-0.22883789,-0.23287848,-0.5768508,-0.19142093,-0.2052179
0.028523114,0.54872465,0.65970033,0.42274377,0.42424893,0.32940924,-0.08890321,0.42564446,0.4321688
0.6338924,0.21550679,0.24211492,0.24836907,0.2501151,0.21735857,0.41955024,0.2531448,0.23489179
0.32041577,0.37072137,0.36483514,0.28043792,0.2822325,0.2773758,0.20620386,0.2969332,0.27579278
-0.32107982,-0.00929137,0.8597349,0.008868103,0.014251221,-0.025929416,-0.16250153,0.034219153,-0.0047472036
0.23362552,0.13875653,0.54525423,0.13839115,0.14187418,0.059799727,0.16582255,0.15880612,0.14237098
-0.31719235,-0.29956263,-0.17355154,-0.31382456,-0.30596134,-0.29595828,-0.11664783,-0.29328248,-0.27939585
0.35590148,0.15230675,0.55788684,0.1791116,0.18218808,0.099719726,0.24218205,0.19139615,0.17653278
-0.09595847,-0.26378757,0.3981006,-0.09119866,-0.08572191,-0.087940335,-0.038282793,-0.0589564,-0.078144304
-0.015104202,0.25339922,0.37438568,0.14811613,0.14957611,0.1618844,0.0019798793,0.14594606,0.11864922
-0.054092158,-0.13939297,0.35838732,-0.044006843,-0.040069986,-0.025917457,-0.022955,-0.0315715,-0.04535761
-0.62011147,0.017398207,-0.34315154,-0.22489323,-0.22299837,-0.24204822,-0.30576572,-0.22664885,-0.21475427
0.5432728,0.1966301,0.30293083,0.20918779,0.21137051,0.16812354,0.358799,0.19814253,0.18862218
0.0388961,0.44041163,0.39913103,0.2793663,0.28172222,0.30659404,0.03980686,0.278631,0.27574673
-0.33293405,-0.2822955,0.2480472,-0.18428208,-0.16961701,-0.11436418,-0.158278,-0.1276794,-0.15979572
0.097092286,-0.1396106,-0.69471145,-0.13664907,-0.13214812,-0.1288095,0.034677625,-0.120735995,-0.15282536
0.3206618,0.0485991,0.6479652,0.14453961,0.14949563,0.017476184,0.25772932,0.16444191,0.13100083
-0.1520807,0.3912604,0.5364559,0.19801708,0.19892976,0.21902798,-0.065215565,0.20188254,0.2124786
-0.6015537,0.042737793,-0.56566894,-0.25983655,-0.25867677,-0.27396902,-0.3257151,-0.24076812,-0.25830463
0.14848207,0.077410996,0.49728113,0.081469744,0.0874215,-0.02815096,0.11539291,0.10068279,0.08000768
-0.6379453,-0.61333025,-0.52547556,-0.55780804,-0.5536387,-0.5577507,-0.312417,-0.55318797,-0.5509539
0.13420267,-0.2847993,-0.8421738,-0.24379565,-0.23093955,-0.20208171,0.11407185,-0.2381682,-0.26426435
0.10835035,0.10062058,0.011992992,0.051049113,0.053180344,0.060414698,0.04628474,0.06422975,0.025951035
0.3927477,-0.03760371,-0.7036201,0.012434944,0.019636044,0.08569863,0.27200598,0.030205736,0.006339423
0.01740911,-0.065538086,0.27858728,-0.015177032,-0.011212452,-0.0052205604,0.013099854,-0.004045226,-0.0147529775
0.18671355,0.16218045,0.5805572,0.14748645,0.15072078,0.09477882,0.14585751,0.14837511,0.14817064
-0.6952157,0.009815665,0.14668138,-0.15193464,-0.15105645,-0.14321244,-0.37897915,-0.15633771,-0.1359842
0.0088237785,0.035924982,0.9653758,0.06187629,0.070484765,0.022087054,-0.030540738,0.08268662,0.10287538
-0.123466164,0.3346902,-0.10346795,0.10887759,0.110937044,0.19431077,-0.05233615,0.101082675,0.109289736
-0.0896133,0.072476685,-0.4790977,-0.079737626,-0.07452127,-0.05199971,-0.047857445,-0.061463337,-0.07996732
0.14232461,-0.22269318,-0.77174693,-0.20032158,-0.1939789,-0.16658503,0.08167673,-0.21009548,-0.23890235
-0.24198411,0.09241975,0.2417487,0.022511588,0.02276386,0.0049810475,-0.11067881,0.016924523,-0.010723372
0.37939614,-0.028432345,-0.56938446,0.0392882,0.04047719,0.08273746,0.24373186,0.025500452,0.023170883
-0.6554127,-0.7197348,-0.7692036,-0.68537813,-0.6827736,-0.7007586,-0.3222828,-0.6621883,-0.7057886
-0.7386234,-0.037221935,0.75381446,-0.08663932,-0.08384693,-0.064725,-0.37531704,-0.06448791,-0.060166672
-0.07571399,0.41699326,0.10594035,0.20452078,0.20717718,0.2344199,-0.036842965,0.19130811,0.19249016
0.1412155,-0.26364356,-0.8021252,-0.21151516,-0.20307548,-0.17617841,0.08126185,-0.20808429,-0.24457045
-0.306462,0.009030392,0.5117092,-0.047822326,-0.04431304,0.01198114,-0.13907436,-0.03140105,-0.043146588
0.076098666,0.021774957,0.7494875,0.057686165,0.06271415,-0.0053593274,0.07577002,0.072929665,0.059457257
0.008741754,-0.067277074,0.5791092,0.0077025923,0.015661463,0.08482303,0.005963525,0.02548387,-0.0011273633
0.23961258,0.021490416,-0.8090767,-0.018430918,-0.007018227,0.052163184,0.21106514,-0.008523354,0.007279322
-0.27886298,0.23027922,0.2100015,0.06412203,0.067962445,0.17608081,-0.09932189,0.07952599,0.048540056
0.084055185,0.24631926,0.59336334,0.1780396,0.1790076,0.1577443,0.08513433,0.17663889,0.18547893
0.02322436,0.0886668,0.55111194,0.0741391,0.07613343,-0.0030266447,0.039750222,0.07149225,0.06933386
-0.4167556,0.18352763,0.5090555,0.031740602,0.033046942,0.014255283,-0.20114142,0.035680156,0.017789247
0.32754597,0.119612075,0.6508239,0.17521468,0.18137856,0.08073835,0.26909387,0.20803244,0.20152363
0.08669479,-0.03897303,0.38295013,0.03244062,0.037920818,0.058935057,0.06451413,0.04129439,0.031102609
0.3442178,-0.007950097,-0.5461601,0.029063864,0.031330734,0.10185141,0.26221105,0.036391243,0.016172167
0.712208,0.67526037,0.35386568,0.59992576,0.59944487,0.54022455,0.32845193,0.58859193,0.595213
0.21431881,-0.09557887,0.5655345,0.031299796,0.040939562,0.13044077,0.17245124,0.07574537,0.05323582
0.11876777,-0.12672767,-0.4885129,-0.092315905,-0.08896625,-0.07480305,0.05964088,-0.081723616,-0.09284141
0.16291015,-0.28716677,-0.8354336,-0.24595755,-0.23638283,-0.19745134,0.116710745,-0.2519852,-0.2798456
0.013793903,-0.031095523,0.7961831,0.034321513,0.037925895,-0.033602066,0.047400184,0.046973135,0.03471201
-0.39532474,0.11779213,0.8100076,0.01858269,0.022927929,0.06803067,-0.16611923,0.015462858,0.014718172
0.727667,0.46186265,0.100383535,0.41317204,0.41426232,0.40144,0.46211317,0.41396865,0.39957824
-0.0006298371,-0.13674305,0.23648953,-0.04706786,-0.042289834,-0.011467465,0.0049518147,-0.030298796,-0.04207586
