226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.8430434,-0.86799306,0.12555529,-0.79259694,-0.78796077,-0.80040604,-0.77352524,-0.84313124,-0.7687187
-0.49245033,-0.57517534,0.05187839,-0.52204037,-0.524688,-0.5224118,-0.51071316,-0.4816387,-0.49837422
-0.4810316,-0.90183216,-0.74525106,-0.7990301,-0.7943313,-0.8022491,-0.7946237,-0.48243865,-0.77430737
-0.8834914,-0.9147255,0.5553535,-0.8279902,-0.815938,-0.8154285,-0.8000514,-0.8844044,-0.79206645
-0.40670636,-0.87190384,-0.6958362,-0.7566339,-0.7509525,-0.76855195,-0.74946284,-0.41060114,-0.72507703
-0.38214016,-0.84008515,0.79300886,-0.6025187,-0.59852564,-0.7268211,-0.5760757,-0.37477094,-0.55852675
-0.007094281,-0.6996029,0.21068707,-0.49509987,-0.484542,-0.469802,-0.47504663,0.0030661074,-0.43643343
-0.10946831,-0.8357581,0.68402827,-0.5913793,-0.5754415,-0.75364816,-0.56541383,-0.11484506,-0.52790517
-0.33916795,-0.95418787,-0.9059198,-0.8535214,-0.8519906,-0.85297215,-0.8556634,-0.33801463,-0.8326638
-0.15793967,-0.8225931,0.49284568,-0.5870214,-0.59825957,-0.72532165,-0.5814942,-0.14321294,-0.5541359
-0.4441918,-0.92105085,-0.8085247,-0.8168808,-0.812906,-0.824947,-0.81615424,-0.43560076,-0.7909303
-0.89269006,-0.8979783,-0.036079682,-0.8338448,-0.8290088,-0.81444466,-0.81147027,-0.8903259,-0.8195258
-0.35788652,-0.9401838,-0.88622355,-0.8207345,-0.8245505,-0.8184552,-0.8266108,-0.34589306,-0.7997399
-0.933068,-0.94460183,-0.4485889,-0.91455734,-0.9162737,-0.9068762,-0.90936977,-0.9325686,-0.9082433
-0.9272775,-0.8862645,0.3742162,-0.8241165,-0.8137712,-0.802678,-0.7938524,-0.9262794,-0.8002418
-0.68160903,-0.8463053,0.32584313,-0.73144954,-0.7252259,-0.71869564,-0.71268535,-0.6807868,-0.69859314
-0.6533251,-0.78368574,-0.2349059,-0.7132991,-0.7149044,-0.72595227,-0.70622015,-0.6494498,-0.6816268
-0.407515,-0.65855706,0.49762818,-0.5006294,-0.49518636,-0.51038986,-0.46801162,-0.4122684,-0.4612211
-0.4753477,-0.9234158,-0.44465217,-0.8007354,-0.7925762,-0.81732714,-0.7860815,-0.46652547,-0.7748109
-0.8061048,-0.8929762,-0.030118175,-0.8175897,-0.81683576,-0.8122136,-0.8023214,-0.8052334,-0.79742384
-0.08438656,-0.8541818,0.6260774,-0.58991486,-0.58074176,-0.73087686,-0.5653763,-0.08765634,-0.541864
-0.3207231,-0.88228166,-0.7701508,-0.7781606,-0.778146,-0.7775208,-0.7807563,-0.32371315,-0.75106806
-0.6112234,-0.8170283,0.44781098,-0.6765897,-0.6807699,-0.69713557,-0.6619974,-0.60835695,-0.6474808
-0.8670998,-0.89065146,0.6083256,-0.7911593,-0.7885473,-0.79649436,-0.7675343,-0.86290735,-0.7591957
-0.5021484,-0.772555,-0.3412636,-0.6820048,-0.6796659,-0.6275557,-0.6712079,-0.49491858,-0.6577429
-0.668073,-0.8722697,0.47925815,-0.7230506,-0.73302746,-0.7767931,-0.70975816,-0.6593071,-0.6990384
