226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.3475419,-0.1743895,0.030063687,0.29345608,0.24584779,0.46017453,-0.5282958,-0.62024707,-0.6168262
0.41141543,0.26638615,0.118597776,0.4632978,0.44277492,0.5902915,-0.46246326,-0.355693,-0.34801617
0.64868665,0.45385033,-0.28353265,0.5851722,0.5553973,0.7008625,-0.053723928,-0.16862191,-0.16204599
0.41723895,0.5134576,0.29209295,0.5958587,0.59300077,0.7310415,-0.4192978,-0.11639306,-0.089383356
0.5404806,0.09689792,0.10369998,0.41325235,0.40586305,0.5289817,-0.29034796,-0.45976976,-0.4575367
0.098945476,0.071450956,-0.56700635,0.24782391,0.2017811,0.4450225,-0.7640605,-0.6932143,-0.6665192
0.026989639,0.2310048,-0.25685716,0.3525841,0.30443817,0.52208734,-0.77227783,-0.55328584,-0.52692366
0.5359776,-0.050142143,-0.6637206,0.32028428,0.28502408,0.48116922,-0.25957507,-0.6019527,-0.60582185
-0.02608457,-0.003926205,0.47197938,0.3348783,0.30068502,0.49595907,-0.81545866,-0.57111084,-0.550045
0.66198957,0.3103315,0.2633735,0.55833507,0.53905356,0.6006179,-0.01049238,-0.21280079,-0.21935329
0.12735568,-0.0041622203,-0.7066045,0.19971804,0.13152811,0.41500401,-0.70789254,-0.7212101,-0.7120954
0.3810047,-0.11747949,0.040397365,0.31612152,0.26575747,0.49458003,-0.5043215,-0.5963284,-0.5956763
-0.06745677,0.23819442,0.2003056,0.38498324,0.33419928,0.56330585,-0.83737934,-0.5143541,-0.48182097
0.7578766,0.18206891,-0.757954,0.4875404,0.45367014,0.6178932,0.2633493,-0.3501086,-0.37040082
0.5736017,0.1698229,0.6572402,0.52195686,0.48322168,0.58232546,-0.20900479,-0.3169594,-0.31753042
0.50514376,0.49726874,0.39870146,0.59833604,0.58011544,0.6893338,-0.3072543,-0.11743493,-0.10583976
0.17732014,0.07043367,-0.47235343,0.27828175,0.217846,0.47732466,-0.6914737,-0.6457483,-0.6296879
0.338466,-0.15536948,0.12672745,0.29959095,0.2689592,0.45601237,-0.5461606,-0.62439466,-0.6154936
0.91002893,0.54623866,0.037584282,0.73082393,0.7082844,0.78645086,0.7444101,0.25228855,0.20473528
0.38339746,0.18732622,0.34247014,0.4682791,0.4394155,0.5413217,-0.5207197,-0.42048392,-0.41765362
0.41473785,0.38989717,0.020715298,0.5242087,0.49507505,0.62928563,-0.43258175,-0.2999994,-0.28843343
0.62011147,0.24406564,0.7035208,0.53731287,0.5171987,0.58569074,-0.08122085,-0.23115215,-0.23779927
0.5154243,0.46633705,0.47981605,0.58824956,0.5727892,0.67554045,-0.29022872,-0.13553482,-0.11853142
0.6052057,0.5112669,0.5834684,0.630087,0.61757827,0.7109506,-0.15203555,-0.04838515,-0.048640504
0.61210644,-0.058162797,-0.8606261,0.32185176,0.27992925,0.49296048,-0.1384034,-0.5859313,-0.6071532
0.6301352,0.30692104,0.7072419,0.563715,0.54413337,0.602764,-0.08108024,-0.18972267,-0.19790219
0.6302413,0.20365937,0.064410396,0.4888222,0.47211024,0.5829421,-0.09300723,-0.3493931,-0.35103562
0.4837868,0.018867869,-0.43434122,0.3569388,0.30566978,0.52979964,-0.34773025,-0.55209464,-0.5578151
0.38845578,0.075756624,0.35605025,0.41732207,0.38559482,0.5346655,-0.52644515,-0.48429412,-0.47201046
0.3417196,-0.14052956,0.034157068,0.30471656,0.26376998,0.48533675,-0.5506254,-0.61699,-0.61133504
0.6432078,0.023975061,-0.82675755,0.37768012,0.3383683,0.52762055,-0.044289112,-0.5224072,-0.52963877
0.66150206,0.40992248,0.6068243,0.60653454,0.58931893,0.6627511,-0.012100665,-0.11047069,-0.11112352
0.20456995,0.35738745,-0.10757881,0.4597573,0.42610687,0.6000172,-0.6613008,-0.39459568,-0.36203757
0.66091216,0.16355231,0.6012462,0.5082973,0.4938466,0.54624546,0.0070195533,-0.2797066,-0.2835742
0.54653466,0.51352686,0.499909,0.6240401,0.60424376,0.7111074,-0.26995483,-0.08839049,-0.07193881
0.38540497,0.35197043,-0.021002378,0.51182926,0.49134257,0.6381177,-0.4621597,-0.33132702,-0.33418062
0.5976089,0.24221355,0.6590917,0.5352302,0.5147084,0.5693095,-0.16085128,-0.25418642,-0.25754046
-0.0918157,-0.5294505,-0.7268641,-0.1857008,-0.27259532,0.06847662,-0.870115,-0.9058766,-0.8975941
0.56932807,0.036924765,-0.57604647,0.38402966,0.33689627,0.54541904,-0.1785803,-0.5245423,-0.5299709
0.08426191,-0.10398231,0.44604722,0.3112633,0.25942656,0.5006906,-0.7488393,-0.6045186,-0.5809945
0.5622313,-0.034416586,-0.63912654,0.34633496,0.3108577,0.5072396,-0.21156247,-0.56909084,-0.5745239
0.5707079,0.053281207,0.10039697,0.44471493,0.39085332,0.5322165,-0.19373436,-0.46249276,-0.4699113
-0.23467948,0.12757918,0.15522905,0.31451434,0.2781661,0.48452362,-0.895718,-0.61071277,-0.5772605
-0.04290611,0.09684748,0.77472746,0.3939309,0.34253985,0.5416,-0.8008007,-0.5044272,-0.47226048
0.13985296,0.08505878,0.82525337,0.419284,0.37685347,0.52549094,-0.73539555,-0.46645534,-0.46049744
0.3250876,0.40460604,0.42772606,0.5441711,0.5226314,0.64663386,-0.5676164,-0.27301285,-0.2504016
0.45766413,0.30096063,0.1228597,0.49480918,0.47984883,0.5863,-0.38922346,-0.34186843,-0.3214087
0.42176923,-0.09087916,-0.78112924,0.26481664,0.20297123,0.4522072,-0.42188215,-0.6785157,-0.672343
0.41704252,0.3350695,0.6261348,0.5285209,0.4953029,0.6243912,-0.4552381,-0.26958522,-0.26031816
0.65104365,0.018916205,-0.8086197,0.37500528,0.33256313,0.5279481,-0.037114322,-0.5215665,-0.5356203
0.45479763,0.5104899,0.36002523,0.60022,0.57755363,0.7094915,-0.36371103,-0.108853385,-0.084877424
0.51815474,0.13262843,0.8363931,0.5013529,0.47233367,0.54503214,-0.30405608,-0.32572913,-0.32484472
0.71618754,0.37299192,0.11968172,0.589828,0.5715686,0.64783156,0.1273031,-0.12378818,-0.14661746
0.2514936,0.3259879,-0.11586399,0.4732767,0.43602833,0.6070074,-0.6093119,-0.40035123,-0.39395282
0.4332953,0.24412316,0.39818254,0.48731562,0.46496326,0.5598731,-0.44300112,-0.36241302,-0.35233825
0.712122,0.4067412,0.06068582,0.59574854,0.5783268,0.69285345,0.076766565,-0.12904808,-0.13205129
0.4934631,0.08484534,-0.6076795,0.363305,0.30236226,0.5408871,-0.28973532,-0.54711574,-0.54941845
0.48042485,0.19364177,-0.48011076,0.41399685,0.3736268,0.5757946,-0.34110618,-0.48203257,-0.47568128
0.5473032,0.011843388,-0.8183855,0.30086103,0.24366617,0.4710071,-0.24599537,-0.60522306,-0.6147269
0.66097516,0.21004611,0.73570025,0.5463848,0.52313703,0.5612893,0.014676463,-0.21778913,-0.228301
-0.41487512,0.103310235,0.71475196,0.31443608,0.27153957,0.5160879,-0.934873,-0.5564567,-0.53374755
0.67046607,0.09058424,0.07277308,0.497812,0.4641183,0.63790834,0.045003787,-0.32423756,-0.32296315
