226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.40011698,-0.10200986,-0.03698907,0.07542965,0.07346817,0.099185295,0.08004339,0.09327731,0.61373657
-0.43026778,-0.84131145,-0.4133254,-0.54056025,-0.5507089,-0.57065505,-0.55439305,-0.54431343,-0.77584356
-0.34639442,-0.78119296,0.047355242,0.009064544,0.007904843,0.047741428,0.016200384,0.0060083466,0.6170541
0.5514301,0.13510054,0.107801296,0.17047082,0.16391571,0.07741114,0.16580763,0.17238106,0.564962
-0.46715188,-0.8476953,-0.060859688,-0.13457732,-0.14488868,-0.12075937,-0.1362847,-0.14101554,-0.20640515
0.47971475,-0.00062118465,0.26154062,0.28554142,0.28074896,0.23194431,0.2830232,0.2775352,0.3124991
0.45121276,-0.072688244,0.09814273,0.13442335,0.14520606,0.09934833,0.16083592,0.14851654,0.49509412
-0.24039443,-0.7241286,0.07157689,-0.027600942,-0.031008903,-0.017295154,-0.033046316,-0.03503186,-0.046266824
-0.76098996,-0.9458233,-0.31344384,-0.260133,-0.2515745,-0.27558807,-0.21811943,-0.23955175,0.8524618
0.49293914,0.03838097,0.055628616,0.17598258,0.16990757,0.16164231,0.18207653,0.19314535,0.7445023
-0.022189118,-0.56597495,0.19951768,0.07994744,0.09481648,0.08565504,0.09627536,0.07236361,-0.08112893
0.40345684,-0.117965765,-0.15652342,-0.1549955,-0.15977673,-0.14240319,-0.1916114,-0.16153732,-0.8311762
-0.2607698,-0.7307391,-0.093482524,-0.05210272,-0.06259767,-0.022366025,-0.06650391,-0.052328426,0.61409813
0.35812813,-0.17515154,-0.13834433,-0.17812724,-0.18935718,-0.14087324,-0.21913525,-0.18849,-0.9082303
0.32260537,-0.21466018,-0.18701255,-0.17454116,-0.18567713,-0.09800619,-0.21135782,-0.1811614,-0.83769727
0.4874695,-0.015102818,0.04238077,0.15580137,0.16091032,0.06962062,0.16994765,0.16432405,0.5156637
-0.3967046,-0.81531715,0.019012667,-0.086661495,-0.072353825,-0.03612453,-0.042783912,-0.0683065,0.5241554
0.091826074,-0.47354484,-0.2962226,-0.20537037,-0.19969946,-0.16502441,-0.19634111,-0.18267591,-0.24019104
0.3737121,-0.14518756,0.10365325,0.13029806,0.13373299,0.09366519,0.1401825,0.13990971,0.6004158
0.23125046,-0.3298747,0.10340919,0.098466635,0.090928465,0.13135202,0.09684131,0.10028537,0.098857045
0.462234,-0.025657766,0.12959072,0.19095924,0.19319054,0.15467463,0.20754945,0.20793197,0.63360834
-0.43001956,-0.830372,0.040859144,-0.055844404,-0.05875528,0.027819362,-0.051676016,-0.059131622,0.24148582
0.21638337,-0.34083205,-0.024005745,0.04214955,0.03624756,0.034504745,0.035594493,0.045361076,0.5617235
0.6586119,0.29797694,0.10438539,0.20854023,0.19167131,0.14300185,0.19168694,0.20541915,0.24410668
0.43670088,-0.09530236,-0.07635531,-0.07614946,-0.077955425,-0.0707015,-0.10699736,-0.08688642,-0.85840684
0.25936675,-0.2815953,-0.086132295,0.009204559,0.010499265,0.02955138,0.026222877,0.025464812,0.22544643
-0.008215407,-0.56219053,-0.24643818,-0.11581349,-0.096279144,-0.10569649,-0.06865184,-0.092833295,0.26433763
-0.09089801,-0.62681437,-0.017404106,-0.022571057,-0.036144815,-0.019155556,-0.028044423,-0.01645915,0.66395843
-0.20982637,-0.73314357,-0.17733805,-0.3071296,-0.29659852,-0.32439142,-0.31140593,-0.31455404,-0.4430519
-0.39259982,-0.82337123,-0.35440016,-0.46739388,-0.4753208,-0.5105514,-0.49767408,-0.48424682,-0.7074972
-0.1437026,-0.66469777,0.12473393,0.023888312,0.02374614,0.05759859,0.016905388,0.00867165,-0.16463755
0.09290188,-0.4513505,0.1997388,0.13263325,0.12911478,0.14929478,0.13331375,0.13014908,-0.0029898263
0.17667802,-0.39813164,-0.16968068,-0.129379,-0.12447435,-0.12548003,-0.1263315,-0.12408627,-0.31255463
0.4328011,-0.08291992,-0.01207434,0.074608676,0.072514266,0.050938826,0.07133065,0.085248604,0.748273
0.057321496,-0.5288572,-0.23583412,-0.12757665,-0.115378484,-0.13407572,-0.106022656,-0.11109896,0.22032674
0.24398838,-0.30880302,-0.22745074,-0.19059117,-0.18906689,-0.1918814,-0.19714972,-0.18604478,-0.54187906
0.14355448,-0.37652597,-0.15052684,-0.07778991,-0.066121586,-0.063449815,-0.069085985,-0.06809817,0.005770076
0.06995631,-0.4820913,-0.22286807,-0.17246717,-0.16433458,-0.1771275,-0.15149662,-0.15763167,-0.02681601
-0.11771272,-0.6281138,0.14828855,0.039682787,0.041834217,0.027166968,0.059387375,0.02862229,-0.11811979
0.30370945,-0.24188447,-0.14068738,-0.10728028,-0.11921304,-0.09238112,-0.1250724,-0.10526506,-0.60619265
