226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.8951097,-0.9364867,-0.64515436,-0.9786719,-0.9345304,-0.82217664,-0.9003767,-0.9554095,-0.9422145
-0.79048014,-0.973991,0.48488295,-0.75812244,-0.7420192,-0.7125386,-0.78643256,-0.79335773,-0.7921536
0.09022103,-0.9550288,-0.4988483,-0.4504412,-0.8278118,-0.8725724,-0.7883641,-0.027839368,-0.54254484
0.027532093,-0.5503421,-0.1837203,-0.5087018,-0.37801734,-0.69848955,-0.4527929,-0.15643203,-0.3095511
-0.03244616,-0.58791614,0.13021307,-0.58021176,-0.59239113,-0.6943368,-0.70143473,-0.1752212,-0.25252712
-0.8231443,-0.8748805,-0.06480334,-0.7750788,-0.5683454,-0.72772604,-0.9036051,-0.6849364,-0.67636317
-0.879199,-0.9733136,-0.23759402,-0.9585557,-0.9164347,-0.94899863,-0.88839936,-0.94364244,-0.90978163
-0.5227658,-0.73179495,-0.07923022,-0.5683746,-0.82563555,-0.46772102,-0.4401852,-0.061583236,-0.75878394
-0.46077347,-0.69767004,-0.3610165,-0.64891255,-0.62494826,-0.5959929,-0.6990963,-0.5445795,-0.6926361
-0.7768286,-0.96341825,-0.5041916,-0.89615464,-0.9309516,-0.9730201,-0.9147584,-0.9179271,-0.81308454
-0.6522502,-0.8739238,0.4214416,-0.6912946,-0.7601179,-0.6458605,-0.5573512,-0.7805605,-0.61907536
-0.7606807,-0.93513733,-0.2476622,-0.8367882,-0.7307176,-0.658823,-0.8089916,-0.814906,-0.86166155
-0.32013232,-0.6564485,0.32632548,-0.47489557,0.046669077,-0.55973035,-0.34751406,-0.3087229,-0.4065843
-0.6201383,-0.9067335,-0.7053437,-0.777504,-0.5631188,-0.39767197,-0.6893101,-0.6828271,-0.7882006
-0.81669915,-0.9828687,-0.94277173,-0.95486814,-0.98451525,-0.99156475,-0.979311,-0.9073967,-0.92907727
-0.5617307,-0.91508853,0.24107128,-0.72993743,-0.8346597,-0.8072878,-0.6887678,-0.651117,-0.78732824
-0.28796738,-0.78570944,0.44333136,-0.6720972,-0.5335386,-0.66278934,-0.6366588,-0.46116835,-0.301336
-0.8607669,-0.8792621,0.618451,-0.69151783,-0.7437559,-0.7601774,-0.7422352,-0.8469142,-0.3348039
0.13738926,-0.8102008,-0.7283213,-0.6029974,-0.38171887,-0.32724828,-0.5796667,-0.38791513,-0.6715567
-0.77537966,-0.9823159,-0.69898003,-0.86326504,-0.92353565,-0.92790586,-0.9484892,-0.6172745,-0.89405
-0.8786535,-0.7683375,0.7061702,-0.6674763,-0.72278225,-0.847294,-0.7014177,-0.8005508,-0.69448537
-0.13955021,-0.51085174,0.6475291,-0.22104459,-0.46706307,-0.3708728,-0.42284265,0.04726008,-0.4013498
-0.9435317,-0.9838477,-0.06468454,-0.9494529,-0.90812707,-0.71304953,-0.83741736,-0.949841,-0.9292013
-0.96556574,-0.98892766,-0.00291748,-0.9012123,-0.89699376,-0.8268373,-0.9661041,-0.68813,-0.8035307
-0.6910341,-0.7541815,0.41005406,-0.5913849,-0.46173707,-0.7141009,-0.5703373,-0.81435835,-0.7083311
-0.7252141,-0.8134002,0.8445874,-0.50605726,-0.6257479,-0.6952507,-0.8563562,-0.38802448,-0.049144924
-0.7188133,-0.9757733,0.61936677,-0.81915075,-0.76093,-0.92328155,-0.8739191,-0.6442746,-0.8628081
-0.40972322,-0.8502613,-0.023287933,-0.7509541,-0.86845934,-0.8708931,-0.85389715,-0.32317126,-0.74153364
-0.8650756,-0.93586475,-0.48776495,-0.7881541,-0.88512737,-0.893233,-0.8973265,-0.8170696,-0.89862967
-0.5540818,-0.43309966,0.5148697,-0.70530355,-0.5308807,-0.41143233,-0.51516134,-0.74517524,-0.39249036
-0.54027134,-0.8649541,0.003028006,-0.74102414,-0.6252834,-0.63463384,-0.63377434,-0.70298135,-0.63394934
-0.29049227,-0.7298525,0.6881518,-0.23807447,-0.46064082,-0.54328835,-0.35446855,0.060899246,-0.4939359
-0.48869774,-0.79754937,0.42743814,-0.83046937,-0.42648035,-0.6283651,-0.6402219,-0.028788704,-0.21926503
-0.697003,-0.9282788,-0.77948225,-0.8007319,-0.90072703,-0.7498195,-0.799689,-0.3783604,-0.8357568
-0.05369527,-0.8732296,0.8098725,-0.30889276,-0.4060726,-0.38656154,-0.38286996,-0.054639485,-0.48445258
-0.45400503,-0.8811606,0.06591836,-0.7670728,-0.838416,-0.888651,-0.60737604,-0.6924679,-0.7001542
0.50332344,-0.9151495,-0.62560636,-0.41998008,-0.5961187,-0.6362606,-0.77972233,0.40259257,-0.4478062
-0.81893665,-0.9285661,0.22292225,-0.9675439,-0.95096993,-0.9318465,-0.85172117,-0.928135,-0.8309367
-0.7464435,-0.90474087,0.3076758,-0.6382544,-0.8257898,-0.6237719,-0.74164855,-0.8090651,-0.86047125
-0.3852358,-0.45160085,0.15165211,-0.6886468,-0.29686084,-0.61232984,-0.4150001,-0.6901644,-0.52763766
-0.22515859,-0.89482117,0.45652837,-0.54635805,-0.5970396,-0.757855,-0.6045599,0.0026553015,-0.4273129
-0.781816,-0.82238865,0.5612805,-0.8315998,-0.7551204,-0.7284799,-0.6801809,-0.74731517,-0.7897224
-0.7093632,-0.95528567,-0.12030177,-0.93249476,-0.7840581,-0.8482561,-0.8456348,-0.53873247,-0.83257455
-0.6146467,-0.7489432,0.842448,-0.6939868,-0.5718806,-0.760997,-0.6930096,-0.6941345,-0.33455622
-0.48173714,-0.8694582,-0.40514764,-0.5874827,-0.80286217,-0.7261685,-0.8625449,-0.5048262,-0.6949438
-0.72840184,-0.9565061,0.67419344,-0.7125326,-0.88723344,-0.6627959,-0.694111,-0.79245985,-0.77187866
0.1353639,-0.6683332,0.61564785,-0.26718217,-0.50717586,-0.5616739,0.076558776,0.21947134,-0.03960794
-0.58258784,-0.9748053,0.081430726,-0.7110138,-0.836493,-0.8855258,-0.82507396,-0.39426225,-0.88821673
-0.7718129,-0.83348584,0.11505831,-0.6532626,-0.96243465,-0.8867398,-0.8808486,-0.834931,-0.9537897
-0.54644036,-0.85210323,0.6218595,-0.864462,-0.7082743,-0.65661883,-0.6455277,-0.3582357,-0.7115659
-0.775313,-0.89431095,-0.47555482,-0.8184029,-0.7652023,-0.7234442,-0.85619277,-0.5634821,-0.78526396
-0.72207487,-0.91987556,-0.031792074,-0.72581166,-0.6597503,-0.7849988,-0.66219497,-0.8038136,-0.80253565
-0.7181803,-0.96717036,-0.6564904,-0.84122497,-0.6906356,-0.84046376,-0.76391625,-0.24389975,-0.88203305
-0.83386,-0.8406377,0.64619756,-0.82644,-0.76343554,-0.93432534,-0.8020439,-0.7020346,-0.8400274
-0.5731647,-0.9447262,-0.40648332,-0.80051017,-0.93709654,-0.8844787,-0.8142239,-0.3655911,-0.8810555
-0.8178066,-0.9704315,-0.8376868,-0.9059739,-0.91855335,-0.91347134,-0.91785705,-0.46798393,-0.90937805
-0.37063044,-0.9486147,-0.6689016,-0.8139512,-0.8749326,-0.7772778,-0.8476572,-0.124911234,-0.82969266
-0.59860855,-0.7646874,0.43492788,-0.81236714,-0.8022047,-0.7954682,-0.82206947,-0.3881641,-0.8828548
-0.44749635,-0.98040247,0.8669585,-0.8704146,-0.8344246,-0.9311989,-0.5836612,-0.7017875,-0.6909795
-0.2899843,-0.87480074,-0.3130114,-0.5818441,-0.5524016,-0.49716425,-0.51292187,-0.54446924,-0.50416833
0.4937423,-0.54115963,-0.07675008,-0.17330971,0.28895473,-0.021237895,0.08312846,0.7287587,0.14769754
-0.36423886,-0.85472786,-0.63672215,-0.8405121,-0.76488703,-0.87584585,-0.7958971,-0.749357,-0.7689117
0.32062888,-0.78016174,-0.69037485,-0.5483397,-0.6846825,-0.6662413,-0.3910824,0.31788987,-0.5112534
-0.80191743,-0.81198704,0.7173439,-0.74472916,-0.6065763,-0.72186506,-0.6952477,-0.65509677,-0.505495
-0.65696025,-0.8863944,0.30329213,-0.54809946,-0.8797319,-0.77393407,-0.7789774,-0.72003174,-0.6319063
-0.3189125,-0.8605776,-0.50826603,-0.80588984,-0.90690136,-0.79265237,-0.94735324,-0.15499769,-0.8018503
-0.67566633,-0.93205005,-0.60351145,-0.7376126,-0.79960257,-0.8542993,-0.8503549,-0.70818025,-0.7395407
-0.83836657,-0.94717103,-0.3602024,-0.87421477,-0.8134454,-0.84670943,-0.8223754,-0.73141956,-0.75842
0.20937231,-0.42966023,0.050537094,-0.5913223,-0.15787277,-0.22294965,-0.24980438,-0.1221822,-0.38829404
-0.4382649,-0.91774875,0.70200473,-0.3767657,-0.6433538,-0.4609301,-0.7520763,-0.2875821,-0.7299968
-0.5156713,-0.63125706,0.92457354,-0.45207337,-0.6330205,-0.40542978,-0.47462702,-0.43400303,-0.45805654
-0.26749408,-0.88947356,0.011174968,-0.8961388,-0.6954105,-0.71754396,-0.5838787,-0.5370227,-0.63085014
-0.12703718,-0.8029223,0.61043835,-0.661934,-0.61769485,-0.6430847,-0.6497345,-0.10827771,-0.6639606
-0.6018632,-0.545053,0.18910016,-0.86347836,-0.8364512,-0.7049532,-0.719481,-0.617329,-0.5898239
-0.6264621,-0.9128141,-0.23823726,-0.859041,-0.92783755,-0.8273399,-0.89220244,-0.75660855,-0.8311184
-0.5653038,-0.9461472,-0.45275995,-0.85094994,-0.7610054,-0.5268098,-0.7509303,-0.48271814,-0.68787444
-0.5625125,-0.89624524,0.648011,-0.39747328,-0.5349663,-0.7588471,-0.62922215,-0.59039533,-0.74048114
-0.8272405,-0.9950747,-0.54316723,-0.9509171,-0.9419076,-0.9342388,-0.907276,-0.92470473,-0.9556058
-0.22629087,-0.77293265,0.60539967,-0.27605402,-0.0036253193,-0.77900934,-0.3005728,-0.3836071,-0.2572235
-0.6579628,-0.9040548,-0.36084053,-0.875266,-0.6556115,-0.8974266,-0.7316849,-0.8765794,-0.70302033
-0.23416981,-0.7656066,0.18040991,-0.63485277,-0.7300873,-0.59782016,-0.71597195,-0.05656886,-0.7356994
0.069107555,-0.8659223,-0.7233554,-0.8092608,-0.7183298,-0.77748525,-0.53369325,0.07751572,-0.82159495
-0.7662249,-0.9734155,-0.63614523,-0.908406,-0.92024827,-0.8597034,-0.8478215,-0.80749404,-0.9038884
-0.45482007,-0.7584117,0.40625376,-0.75696456,-0.782142,-0.7422458,-0.7145679,-0.43281323,-0.54524946
-0.51758146,-0.52806646,0.2880642,-0.38410106,0.22797903,-0.25452933,-0.55306643,-0.5165895,-0.6379211
