226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.82647675,0.13447905,-0.6694685,0.5352362,0.5191579,0.6509642,0.50885946,-0.2534199,-0.2936323
0.59755826,0.11219583,-0.6643026,0.37743646,0.35388055,0.5352296,-0.18586037,-0.51687694,-0.52360314
0.6315653,0.30275437,0.8964983,0.5709126,0.5529244,0.61446476,-0.079137616,-0.17565666,-0.18405105
0.4162461,0.22666538,0.71233237,0.47918105,0.466341,0.5598309,-0.49515438,-0.3469792,-0.33812293
0.5601661,0.5331151,0.4762434,0.6373594,0.63080734,0.73465455,-0.22848742,-0.04869255,-0.036485013
0.495518,0.013264199,-0.87832534,0.30207577,0.26578727,0.47706077,-0.31021255,-0.6298778,-0.63458747
0.7984507,0.42042914,0.17444287,0.6281768,0.6218926,0.7020689,0.35023794,-0.040684506,-0.04971952
0.26460278,-0.14938143,-0.24381606,0.24514495,0.2262266,0.48772296,-0.6684345,-0.68519753,-0.6483442
0.34305406,-0.049306538,0.11727863,0.34449348,0.31580845,0.518376,-0.5342464,-0.5522375,-0.5571971
0.5745138,0.5343751,0.50509393,0.63952386,0.61873,0.7268514,-0.20286165,-0.041449893,-0.026321186
-0.12931581,0.09295896,-0.5402914,0.22812538,0.21255592,0.43946993,-0.86790085,-0.72412944,-0.70423853
0.46973228,0.51201046,0.22623411,0.5973518,0.59272116,0.70577127,-0.3984065,-0.1380474,-0.118148215
0.56400526,0.124692574,0.59780765,0.47157127,0.45202038,0.5901816,-0.21313739,-0.3524285,-0.3432226
0.54597336,0.5085221,0.4721826,0.62179863,0.61451405,0.719491,-0.2521832,-0.083410285,-0.068242475
0.338896,-0.04606497,0.05543407,0.32785285,0.30524215,0.49843892,-0.54456484,-0.5788573,-0.5673474
0.0072783735,0.20918074,-0.32620224,0.32176855,0.30622682,0.51517016,-0.81773657,-0.6110728,-0.5830877
0.4979893,0.07296271,0.7937234,0.43149856,0.4275203,0.5196195,-0.36694825,-0.38720334,-0.38692042
0.099538386,-0.017418545,-0.5138612,0.21653749,0.17378671,0.42262548,-0.7696588,-0.71871376,-0.7010684
0.6146453,0.12848887,0.7123232,0.4923253,0.48375812,0.5542534,-0.14115795,-0.30772862,-0.30988204
0.5340346,0.02311904,0.44543085,0.42896616,0.41874826,0.57876515,-0.2640777,-0.4205026,-0.4167661
0.557054,0.2673743,-0.42868623,0.4763591,0.44262725,0.62455046,-0.28732914,-0.40983048,-0.39623904
0.62782156,0.36906794,0.54725134,0.57858884,0.5695566,0.64839447,-0.07974145,-0.1691703,-0.15536931
0.7231712,0.3065766,0.7191857,0.5916461,0.572845,0.6158315,0.14673133,-0.1314601,-0.14489816
0.14862686,0.15289897,-0.42409354,0.32805625,0.31378084,0.5435421,-0.775885,-0.6027063,-0.5888449
-0.078952186,0.087660596,-0.60623217,0.22564456,0.21848541,0.44365662,-0.863926,-0.7284163,-0.71450603
0.21294168,0.2598312,0.5524949,0.47379255,0.42577127,0.5551965,-0.6556839,-0.40591142,-0.3874706
0.98953325,0.8465593,-0.0031949042,0.91354704,0.9059838,0.93259144,0.9860049,0.787018,0.7557139
0.5578553,0.2007117,0.63938606,0.4996401,0.48686254,0.5565839,-0.24122703,-0.31199852,-0.30773106
0.57486016,0.28509745,0.93048596,0.5578599,0.5219172,0.60913616,-0.18159908,-0.21098353,-0.20864315
0.25327155,-0.110791154,0.22190508,0.3306646,0.2889762,0.4949531,-0.6037197,-0.5923023,-0.57139874
0.71488094,0.29359862,0.66788673,0.5813403,0.5602075,0.5995477,0.13207527,-0.15663591,-0.16825528
0.28528845,-0.038929433,0.15080465,0.3293156,0.3031382,0.4997166,-0.5823389,-0.5637821,-0.56712574
0.3126907,-0.20067288,0.0594568,0.29077798,0.26971918,0.49519816,-0.59821904,-0.63412464,-0.596476
0.31574413,0.40357107,0.0058014765,0.5095075,0.49651703,0.63409245,-0.5841,-0.324824,-0.31158668
0.52757514,0.25202736,-0.12326363,0.47386765,0.46365905,0.564785,-0.26829392,-0.3752718,-0.37931582
0.31312677,0.0756442,0.22324938,0.37940273,0.3455885,0.5192377,-0.54970217,-0.49764982,-0.5165051
0.55306184,0.12709934,0.76330835,0.49702471,0.4629754,0.6035906,-0.1877366,-0.31590998,-0.3145412
0.6731883,0.27075094,0.7500988,0.56363726,0.5391228,0.60416317,0.0077033755,-0.19647104,-0.18929867
0.4965847,0.1477857,0.28054002,0.45231962,0.43050954,0.5484184,-0.31510076,-0.39899108,-0.39834052
0.4497777,-0.028798588,-0.14650081,0.36294284,0.31534946,0.529856,-0.35208917,-0.5394484,-0.537322
0.5361278,0.029895946,-0.8404961,0.32733285,0.29084975,0.4942865,-0.25749046,-0.6002997,-0.6115677
0.44936872,0.4512546,-0.2294744,0.54689837,0.5271609,0.6659087,-0.4239141,-0.27759555,-0.25580093
0.30782807,0.37774637,0.256989,0.5094113,0.4815377,0.63490725,-0.602795,-0.32646012,-0.29790667
0.6314728,0.40344387,0.45054212,0.58268106,0.56968653,0.66214085,-0.094026305,-0.15564577,-0.15070826
0.2467443,-0.1603174,0.08389238,0.28541914,0.25075367,0.47681352,-0.6429182,-0.6337191,-0.632383
0.29436737,0.38327327,0.45341414,0.5343014,0.50820434,0.63577724,-0.5960307,-0.28295836,-0.27165434
0.2622368,-0.08371213,0.16592811,0.32933128,0.29169235,0.49487025,-0.6015116,-0.5898584,-0.57944894
0.15292901,0.2717639,0.28399554,0.45251954,0.42038393,0.5851763,-0.7228354,-0.43295136,-0.4159629
0.32637167,0.2295237,0.69141614,0.47014666,0.44493884,0.5691203,-0.5691042,-0.3720398,-0.3617332
0.4324841,0.4866182,0.2908163,0.5910666,0.5804002,0.6858299,-0.44333994,-0.19744311,-0.16428092
0.5970074,-0.096188985,-0.83228004,0.31169796,0.27851027,0.49096912,-0.17393169,-0.6116832,-0.6132058
0.08489328,0.30724677,0.2534929,0.44899908,0.4209705,0.5917145,-0.7827731,-0.43501619,-0.4169961
0.52755374,-0.006300336,-0.8536899,0.3115156,0.27620718,0.48763606,-0.28227964,-0.61167717,-0.61594844
0.11777608,0.2554978,0.5628891,0.4405672,0.4207366,0.5726441,-0.7555406,-0.42134026,-0.40095848
0.6314746,0.24660966,0.3937316,0.52169156,0.5094005,0.5570506,-0.10156555,-0.26910532,-0.27479976
