226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
-0.20299806,-0.13533378,-0.44744024,-0.27829602,-0.07510665,-0.07547744,0.04672918,-0.25554657,-0.24660727
-0.496066,-0.1528338,0.31172082,-0.11541773,-0.11570183,0.004736319,-0.21649188,-0.25104502,-0.09266324
0.39794764,-0.09300573,-0.8310735,0.15782253,-0.12805666,0.08937012,0.24739198,0.037059005,0.11030362
-0.14046468,0.09165483,0.5958067,0.029454557,-0.01034499,-0.030834375,-0.08986058,-0.109708205,0.11079469
0.103673644,0.46769318,0.28824887,0.26153037,0.1856304,0.34749284,-0.08683703,0.21033128,0.32714707
-0.31131938,0.3493736,0.63674194,0.28014958,0.27918226,0.2236414,-0.13230067,0.20951256,0.26995724
0.40064856,0.201067,-0.17468832,0.1492232,0.072227105,0.09210231,0.22628078,0.112506695,0.113545194
-0.37137756,0.018273499,-0.05732702,-0.017065972,-0.107710816,0.06641124,-0.06732854,-0.077746004,-0.07973951
-0.11031757,0.07774964,0.10725637,-0.1429142,0.074664265,-0.06816342,-0.16223475,-0.0786476,-0.037200406
-0.008541519,-0.21326408,-0.49418342,-0.20024866,-0.1269493,-0.16819099,0.018817464,-0.24595279,-0.051050242
-0.049292542,0.034897313,-0.60315096,0.095410384,-0.0786485,-0.012555982,0.07648551,-0.1980192,-0.12731552
-0.20190407,-0.054931108,0.39616236,-0.14646097,-0.057513703,-0.0920678,-0.09626025,-0.08091059,-0.11652365
-0.02525495,0.03908989,0.33430263,0.18446866,0.21329348,-0.025015172,0.0024977834,0.04419739,0.075619526
0.18002717,-0.29004484,-0.7230178,-0.026397461,-0.010650251,-0.0068872375,0.13439274,-0.24320544,-0.26770213
-0.40424734,-0.5382285,-0.9375929,-0.6309438,-0.6261539,-0.68253636,-0.29996872,-0.60650516,-0.65246856
-0.091126435,-0.12547915,-0.66966444,-0.119665526,-0.1353022,-0.110921755,0.110204294,-0.10605494,-0.15910602
0.18514034,-0.09687526,0.7334869,0.062480524,0.082599886,-0.053211823,0.0056850407,-0.015521214,0.03060186
-0.6421905,0.31531918,0.60658646,0.17741221,0.07557301,0.19640887,-0.3117464,0.09221232,0.18569691
0.3791743,-0.01940522,0.2631579,0.049886532,0.12101871,0.208187,-0.025797613,0.21348509,0.022185735
-0.2025983,-0.25555322,-0.7287404,-0.20491602,-0.12525575,-0.14446303,-0.086584896,-0.3047144,-0.3399449
-0.72396994,-0.09564303,0.10290736,-0.21120073,-0.2545525,-0.2404899,-0.24722824,-0.19594741,-0.24484882
0.50396127,0.48130083,0.8968732,0.58080196,0.28909704,0.26497996,0.27595535,0.48455107,0.41552576
-0.94707465,-0.2465308,0.09492085,-0.5630702,-0.5443062,-0.37779427,-0.67249113,-0.5748265,-0.5114068
-0.7194396,-0.2336166,0.019329969,-0.33108383,-0.17335376,-0.17099649,-0.4635757,-0.25999272,-0.16017291
-0.13679218,0.08237966,0.27468464,0.10186255,0.13519695,0.07206293,-0.07347459,0.07148714,0.09871888
0.13209836,0.26357877,0.9377183,0.25109696,0.28965825,0.18469088,0.0897731,0.35108548,0.4539433
-0.026058272,0.45371315,0.83822054,0.33507085,0.28239736,0.19626217,-0.0063693295,0.24471962,0.2919598
-0.5169518,0.24801522,0.6525328,0.17658809,0.059869856,0.07458564,-0.23178886,-0.015899686,0.11899664
-0.18292163,-0.05693959,-0.07952862,0.04583919,-0.12157408,-0.014974428,-0.13537058,-0.008892938,-0.10175751
-0.30204386,-0.1100723,0.35715404,-0.09692815,-0.08512101,0.002064821,-0.0351124,-0.17098767,-0.12683606
-0.06343841,-0.084436625,0.66229826,0.040539853,-0.021238444,0.013883652,-0.050752986,-0.02172776,0.12737873
0.19104724,0.19330636,0.7664608,0.22156031,0.07135241,0.13759197,0.13409103,0.25421742,0.0988136
-0.45969212,0.055934135,0.28601095,-0.18044998,-0.19294794,-0.065782145,-0.320254,0.07575884,0.09895
-0.027855244,-0.22959153,-0.9850288,-0.028166505,-0.17545946,-0.02119142,0.1505086,0.015840163,-0.22381967
0.05333859,-0.0060522384,0.7102382,0.13139103,0.098442785,0.144268,-0.06194788,0.12026495,0.057438254
0.1898062,-0.183146,-0.08160414,-0.15197401,-0.041145146,-0.10658059,0.19761604,0.018222136,-0.124515295
-0.041291967,-0.29097977,-0.61848843,-0.28857064,-0.3287033,-0.29423895,-0.054608777,-0.048459187,-0.2425837
-0.75697136,0.21506247,0.018811537,-0.11456434,-0.05949506,0.07474484,-0.43490723,-0.17328194,-0.044713814
-0.113907725,0.023745203,0.29814574,0.054215897,-0.10370151,0.1662148,-0.083460346,-0.066327035,-0.037506822
-0.03048507,0.22747833,0.36874092,0.031757314,0.2383281,0.046582878,0.09309328,0.1335076,7.6262746e-05
-0.2695339,-0.0052801003,0.7873963,0.23518676,0.0998477,0.05798136,-0.20183972,0.25648752,0.20428243
-0.30231386,0.14555423,0.45561257,-0.08506719,0.05555203,0.10244754,-0.11292661,0.03171389,-0.06410068
-0.008765943,-0.23157048,-0.5933709,-0.2845993,-0.101394325,-0.034183722,0.004203712,-0.025302988,-0.21512727
0.5153242,0.07754696,0.9249351,0.02133826,0.26319224,-0.04183975,0.3474362,0.17120104,0.29897025
-0.08992537,0.033227034,0.17294487,0.049766727,0.011321184,0.05526742,-0.1770552,0.061796624,-0.021777846
0.24396959,0.15307634,0.5029381,0.36216512,0.18481219,0.29496065,0.1652958,0.20061955,0.3369136
-0.16281973,0.025040342,0.82188463,0.16707459,0.0023887374,-0.012688425,0.108876236,0.054302156,0.075716995
-0.1885602,-0.2603468,-0.27350792,-0.055501204,-0.2658122,-0.22294432,-0.056185797,-0.20767167,-0.114474155
-0.6569048,0.15345937,-0.338109,-0.13145636,-0.4046327,-0.15178615,-0.3314345,-0.44248596,-0.24920055
-0.09090601,0.2578463,0.3815345,0.024126224,0.048480775,0.002986601,0.025495803,0.080653556,0.13122681
-0.44707453,-0.10869871,-0.16825001,-0.10221023,-0.33219233,-0.048913352,-0.26673338,-0.05754362,-0.011307397
-0.20726798,-0.07349234,-0.47871682,-0.07996029,-0.12997654,0.068740025,-0.052766416,-0.27488557,-0.18377112
0.2781348,0.031138003,-0.9105279,0.018671753,0.08715081,0.20078348,0.25960588,0.12251256,-0.15688598
-0.3905532,0.070840225,-0.22756517,-0.05891526,-0.0116549255,-0.18187366,-0.13769087,-0.013203534,-0.020026086
-0.6821595,-0.11330299,0.1098275,-0.1381967,-0.37468606,-0.24249358,-0.38644207,-0.2302466,-0.32910898
-0.37203115,-0.03552269,-0.088075384,-0.13990948,-0.091276385,-0.23057482,-0.07411723,-0.043076422,-0.20488743
0.26421013,-0.18061832,-0.93045324,-0.10533279,-0.29724967,-0.0076676444,0.10159612,0.06646007,-0.24508889
-0.05720382,-0.06617336,-0.64484286,-0.14371225,-0.12185543,-0.035861038,-0.079830095,0.088958375,-0.23256221
0.90849626,0.65636003,0.21819197,0.61244345,0.6263685,0.588204,0.68574524,0.60694635,0.60624933
-0.19799933,-0.0436252,-0.3088821,-0.1607539,-0.17870833,-0.18690395,-0.15754947,0.01642345,-0.03504918
0.36901933,0.11276305,0.7157221,0.19314797,0.3282291,0.062732525,0.31279156,0.15900129,0.26283184
0.041557096,-0.18450944,-0.78208214,-0.21166325,-0.21055956,-0.18477827,-0.0459573,-0.28319648,-0.22365406
0.28716433,-0.122908324,-0.60196376,0.046130538,-0.14304782,0.0030830703,0.22562993,0.059954204,-0.071141995
0.44786516,0.3096946,0.7339806,0.29585034,0.31335908,0.12627271,0.3075584,0.3273263,0.31601286
-0.05873783,0.28847897,0.50081134,0.19445655,-0.027352821,0.035702292,0.0053002783,0.2005846,0.22461833
0.13898285,-0.06235447,-0.70574784,0.030239029,-0.08250873,-0.067175984,0.122092016,0.0839131,-0.022682406
-0.14752227,0.14136702,-0.1694753,0.035373744,0.2566918,0.054976173,-0.00015446916,0.027576758,-0.06698477
-0.71726424,0.10212198,0.16707431,-0.09597686,-0.055368353,-0.023733703,-0.39989126,-0.120919764,-0.03626281
0.26085636,0.100022145,-0.11750356,0.041218974,0.07451866,0.12566078,0.21097428,-0.0068531707,0.06397799
-0.10638466,0.009352615,0.7682146,0.16203262,0.10228353,0.2485478,0.07347816,0.20397966,0.18749826
-0.23977065,0.05937813,0.9165562,0.05666907,-0.014180756,0.18596095,-0.09712271,0.10382441,0.18986735
-0.16789193,0.17559056,0.49373773,-0.060805403,0.113684624,0.18098861,0.053344276,0.16373986,0.14927082
0.19019166,0.1238289,0.7300644,0.26915696,0.15682402,0.14443941,0.10353704,0.27869052,0.21230549
0.10119802,0.36752242,0.33061174,0.14320485,0.15997398,0.16395548,0.024818862,0.11453889,0.17009786
-0.5284996,-0.16880405,-0.061338186,-0.2989243,-0.3723837,-0.3098469,-0.25118202,-0.31244403,-0.30924803
0.14476667,0.3883152,0.21461467,0.26577535,0.28292972,0.4360907,0.1888893,0.17226222,0.23865525
-0.074588,0.29171962,0.626987,0.24334633,0.24739285,0.16851021,0.0666566,0.17983766,0.10897968
0.058254767,-0.32185584,-0.41830325,-0.14395306,0.016222106,-0.11674524,0.03559182,-0.12754022,-0.20527948
0.27049926,0.2991446,0.8049061,0.3528142,0.2659217,0.13473357,0.21336247,0.21410824,0.404452
0.024610236,0.009322525,0.6512021,0.08384853,0.19248489,0.12384296,-0.0173233,0.07987584,0.2508851
0.72440886,0.51206905,0.4174557,0.4935643,0.5712043,0.46158418,0.52296156,0.5189863,0.4016791
-0.56320965,-0.2221891,0.3132908,-0.23184696,-0.22489344,-0.2578243,-0.106427304,-0.32963097,-0.35520375
0.26933652,0.24044088,0.23770998,0.19532807,0.21263261,0.12708168,0.3145841,0.2750865,0.23846863
-0.51541555,0.5370641,0.29482228,0.085917346,0.072130725,0.18754293,-0.30097428,0.2245215,0.15982214
-0.1479447,-0.029388526,0.73163164,0.046853423,0.16676623,-0.09498778,0.06537562,0.07832248,-0.016318297
0.447579,0.13009773,-0.40970054,0.056472905,0.06369974,0.10691566,0.18104114,0.14994465,0.11609294
-0.5445042,-0.13112512,0.11836792,0.047499556,-0.0831339,-0.06465201,-0.16296777,0.029556956,0.028224293
0.006578834,-0.05306504,0.7990677,0.004739794,0.0004559273,-0.066865124,0.16716118,0.11711865,0.121883914
0.5853256,0.12620464,-0.7347947,0.12821276,0.16442707,0.26360202,0.32546267,0.25564986,0.26982406
-0.24128063,-0.2636762,0.008658281,-0.31933,-0.26442263,-0.441539,-0.16778229,0.0053370656,-0.35478213
-0.1600684,-0.3090712,-0.30685294,-0.28120005,0.0012894529,-0.11592464,-0.17791267,-0.30559084,-0.16842243
0.3539942,0.064677484,0.92794657,0.27215156,0.17426682,0.14702806,0.29996338,0.3915423,0.20834212
-0.366905,-0.18135962,-0.5968994,-0.08217786,-0.3469173,-0.08946405,-0.19993143,-0.12644596,-0.087559104
-0.027714344,0.27116847,0.5172859,0.20407428,0.20228155,0.10190207,0.14535268,0.16359234,0.20647568
0.2038674,0.3303815,0.7618741,0.21546078,0.31066337,0.19280092,0.15849793,0.3163073,0.3182777
-0.11124433,0.07066113,0.31104228,0.043949373,-0.10333477,0.02603035,-0.08085543,-0.09399914,0.03945161
-0.61121166,0.096886136,0.60848975,-0.0793163,-0.06329155,-0.16686603,-0.33083546,0.03015379,0.053986143
0.13945806,0.23062512,0.15781535,0.056841962,0.11547605,0.05264578,0.03562136,0.09940648,0.058118913
-0.5170546,-0.44289005,-0.6881959,-0.36435565,-0.49224174,-0.3167667,-0.36696112,-0.25994083,-0.57583535
0.092956245,-0.10615641,-0.089772955,-0.052489102,-0.04968101,-0.06554883,0.04230351,-0.09563401,-0.1476749
-0.13982522,0.019118605,-0.79633343,-0.19652653,-0.15554382,-0.23548181,0.009962374,-0.36414716,-0.23071453
-0.72590524,0.18338451,0.490925,0.07096752,-0.18512356,0.03073356,-0.25477678,0.029784588,-0.14682193
0.19952527,0.032855026,0.78625464,0.14560543,0.14168125,0.051928055,0.0836881,0.07864895,-0.01110176
-0.4266882,0.1553235,-0.4035354,-0.12978634,-0.07624067,-0.08819268,-0.35479677,0.042088535,-0.073729426
0.65343606,0.48557317,0.8350152,0.38738266,0.44323376,0.3618304,0.36424667,0.39189968,0.34044868
0.0633694,-0.04334929,0.29293036,0.10095257,0.10055352,0.04790872,0.22033136,-0.015228252,0.08059481
0.14688432,-0.36917368,-0.90457433,-0.19131355,-0.110293984,-0.062753394,0.1751747,-0.19365974,-0.18898143
0.0011716693,-0.05010138,-0.6396115,-0.1087722,-0.253778,-0.022364195,-0.005285575,-0.22709627,-0.19695766
-0.13625884,0.13173631,0.79647315,0.18723257,0.160659,0.09981309,0.0001503937,0.2414613,0.07289247
