226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.32291457,-0.9082349,-0.8293957,-0.79159784,-0.79601884,-0.7935515,-0.79745555,-0.31390712,-0.7713587
-0.34150234,-0.6934222,0.5974297,-0.52946687,-0.51529926,-0.59336036,-0.5074354,-0.3532954,-0.4795409
-0.49357298,-0.80985564,-0.43810982,-0.70383793,-0.7183958,-0.6879769,-0.7050219,-0.47646198,-0.6817122
-0.34605902,-0.7344163,0.40702403,-0.5603575,-0.56293225,-0.6397764,-0.54217005,-0.3427649,-0.51657736
-0.3832194,-0.9222314,-0.84204334,-0.8052034,-0.8103238,-0.79969764,-0.8133852,-0.36660466,-0.78795713
-0.699871,-0.79773486,-0.2513293,-0.74731183,-0.74552244,-0.7509942,-0.72988135,-0.69859284,-0.7316279
-0.560681,-0.89762235,0.2539276,-0.7486979,-0.7438892,-0.7787149,-0.72753936,-0.56203073,-0.7100475
-0.34311083,-0.6986436,0.5748759,-0.5228196,-0.5194531,-0.6189914,-0.50068766,-0.3461857,-0.4752608
-0.5598673,-0.5355444,0.34655303,-0.4737986,-0.48221853,-0.4786804,-0.45464137,-0.5533649,-0.44303024
-0.50971174,-0.7212449,-0.28480265,-0.62699735,-0.6409784,-0.63757074,-0.6274491,-0.4953888,-0.60058004
-0.6636389,-0.79100907,0.39363563,-0.6725001,-0.6721345,-0.76851475,-0.6505168,-0.66367954,-0.64062613
-0.8945497,-0.88368094,0.9079498,-0.7607116,-0.75478446,-0.8042342,-0.7293676,-0.8948175,-0.7226596
0.4832284,-0.77874845,-0.6375863,-0.5038268,-0.51209265,-0.55278647,-0.52881765,0.49343812,-0.46063423
-0.8926177,-0.8589604,0.89143986,-0.7296316,-0.73253495,-0.7669591,-0.692227,-0.88879204,-0.6940477
-0.7197212,-0.63740957,0.22270584,-0.59719235,-0.5937161,-0.6312418,-0.57500815,-0.7205649,-0.570663
-0.60875094,-0.9269737,0.25009277,-0.77241707,-0.7730358,-0.80096704,-0.75271946,-0.606551,-0.7358102
-0.4489223,-0.9019176,0.5028145,-0.7097515,-0.70539504,-0.7419481,-0.6859031,-0.45158964,-0.66419345
-0.6547061,-0.6883298,0.47053242,-0.59303766,-0.5940824,-0.64759374,-0.56657493,-0.65199745,-0.5608844
-0.5435538,-0.89862704,0.94057804,-0.69695896,-0.69919026,-0.75272506,-0.6615128,-0.5449295,-0.6520775
-0.6404095,-0.95531076,-0.040930346,-0.8422231,-0.8401366,-0.8458528,-0.8299044,-0.63693255,-0.81755483
-0.3524582,-0.9298319,-0.7802665,-0.807197,-0.80656344,-0.80349386,-0.8100462,-0.34494093,-0.7854993
-0.5841475,-0.9239316,0.19671232,-0.78039753,-0.78445876,-0.7763895,-0.7621431,-0.5785894,-0.7494769
-0.57893836,-0.8364563,0.6929362,-0.6687505,-0.66323715,-0.7358798,-0.63895345,-0.58232754,-0.6234109
-0.6298264,-0.9067606,0.27617642,-0.72891974,-0.7333987,-0.6959331,-0.71373576,-0.6106137,-0.69020575
-0.24436454,-0.9161096,-0.80990326,-0.78081155,-0.78848714,-0.7817693,-0.7916434,-0.22152953,-0.75804543
-0.71558166,-0.8954111,-0.15378456,-0.80859756,-0.8048103,-0.80751497,-0.7943303,-0.71251184,-0.787769
-0.3243487,-0.883496,-0.6703195,-0.7598935,-0.7681519,-0.76360327,-0.7684458,-0.30897668,-0.7340577
-0.30722362,-0.8711297,-0.76855224,-0.7600677,-0.7624486,-0.7565103,-0.76038945,-0.30268195,-0.7408769
-0.58622223,-0.8903599,-0.4347289,-0.80690235,-0.8080212,-0.8242881,-0.7990658,-0.5772667,-0.792327
-0.52905846,-0.9242948,-0.6489254,-0.8317438,-0.83053756,-0.83583176,-0.82983494,-0.5252443,-0.8145089
-0.30743343,-0.9116827,-0.8228045,-0.80136734,-0.802265,-0.816178,-0.8052368,-0.29777423,-0.7826167
-0.1328203,-0.806502,0.5851451,-0.5600643,-0.55762136,-0.70543486,-0.5405125,-0.13375582,-0.5032872
-0.43228057,-0.6837197,0.23847811,-0.5564772,-0.5641914,-0.59665954,-0.5416914,-0.4264583,-0.52127224
-0.76829165,-0.8343753,0.3726383,-0.7285909,-0.72613275,-0.75630945,-0.7071583,-0.76805806,-0.698788
-0.58210546,-0.5700786,0.20669226,-0.5054216,-0.5250185,-0.4878705,-0.49252638,-0.5668205,-0.47705758
0.6396231,-0.21102688,0.057504393,-0.040895946,-0.038616646,-0.0785134,-0.044209264,0.6446262,0.005683905
-0.51165384,-0.82107186,-0.47270873,-0.7482771,-0.7522216,-0.804853,-0.7442704,-0.49604684,-0.7329965
-0.75068164,-0.88226885,0.3538641,-0.7722161,-0.77396446,-0.7995335,-0.7473826,-0.74897385,-0.7443756
-0.87667423,-0.82134944,-0.41557705,-0.8131284,-0.8060557,-0.8232421,-0.79907763,-0.88024944,-0.8039045
-0.14882435,-0.8484541,0.5667916,-0.6053332,-0.60442054,-0.7482576,-0.58286375,-0.15188937,-0.5505502
-0.66409034,-0.6392621,-0.17303191,-0.60162675,-0.6052725,-0.608694,-0.5918159,-0.6592984,-0.5770342
-0.5147962,-0.80779386,-0.13052133,-0.6829924,-0.6934739,-0.68736964,-0.67198575,-0.50202614,-0.65693104
-0.7747696,-0.9001963,0.40882704,-0.78550935,-0.78687555,-0.80187005,-0.76303005,-0.77064604,-0.7572859
-0.8810865,-0.834581,-0.45980316,-0.8265929,-0.82489574,-0.8152482,-0.8122343,-0.88154274,-0.818318
-0.807371,-0.75756174,0.6019901,-0.6600556,-0.65575516,-0.714232,-0.6314746,-0.8069802,-0.6289211
-0.7204255,-0.878963,-0.49062076,-0.8201018,-0.8198784,-0.83240604,-0.8113475,-0.71886605,-0.8052108
-0.48733553,-0.8539488,0.49177545,-0.671238,-0.66697353,-0.7159479,-0.6426749,-0.48947418,-0.62645525
-0.5918909,-0.9261689,-0.20520352,-0.81060374,-0.81007135,-0.8140009,-0.8005169,-0.5898293,-0.7833748
-0.11094476,-0.8677927,-0.76339334,-0.7191055,-0.71958226,-0.7480072,-0.7297051,-0.10316164,-0.69234526
-0.4222761,-0.90854305,-0.46186697,-0.7801132,-0.78334594,-0.7861424,-0.7765207,-0.4148344,-0.7554502
-0.48956433,-0.8267915,0.14235303,-0.68495756,-0.68807423,-0.7330009,-0.66883975,-0.486117,-0.6514357
-0.5033661,-0.80580175,-0.42204645,-0.6973158,-0.7135796,-0.67994994,-0.6968592,-0.4842276,-0.67329305
-0.47235227,-0.8839415,-0.6821201,-0.78912467,-0.78856945,-0.8206765,-0.7891238,-0.4678055,-0.7733492
-0.37247464,-0.6534309,0.4063976,-0.50981814,-0.5110684,-0.5528885,-0.49364445,-0.36889216,-0.4677648
-0.490839,-0.8845272,0.4338739,-0.71428657,-0.70642155,-0.7671524,-0.69341314,-0.49283212,-0.66954374
-0.37626317,-0.8665774,0.59298104,-0.6637047,-0.65646476,-0.75193655,-0.63894737,-0.38279945,-0.6149087
-0.48306447,-0.8268551,0.14623605,-0.68650633,-0.6905658,-0.7123391,-0.6682748,-0.46954086,-0.65466505
-0.5336686,-0.78085214,-0.40158182,-0.6869478,-0.7065435,-0.6661424,-0.6851902,-0.5140493,-0.66568446
-0.096734785,-0.7610342,0.2200168,-0.5393092,-0.552786,-0.54534584,-0.52217835,-0.07470475,-0.4936675
-0.46936402,-0.7417509,0.61550725,-0.578503,-0.5810193,-0.64735574,-0.5540304,-0.46544358,-0.5385678
-0.414251,-0.86849874,0.44893095,-0.6756793,-0.66763,-0.7764017,-0.6549129,-0.41901407,-0.6276239
-0.7170538,-0.5983877,-0.061555907,-0.59632295,-0.5870178,-0.5934224,-0.57467175,-0.7198641,-0.5703573
-0.37809223,-0.8389808,0.8666212,-0.62859213,-0.6239999,-0.72572446,-0.5974257,-0.3835812,-0.5769996
-0.8144676,-0.83346546,-0.35295606,-0.81287634,-0.80262905,-0.8310123,-0.79799724,-0.8193588,-0.80144095
-0.6712547,-0.46020657,-0.17910069,-0.53670466,-0.46702972,-0.6421263,-0.5266073,-0.7113955,-0.50819284
-0.33218616,-0.62969613,0.52088815,-0.4836984,-0.46836606,-0.47832394,-0.47393796,-0.34363213,-0.43048996
-0.6657975,-0.90475386,0.24055518,-0.7751431,-0.7757472,-0.78144187,-0.7519574,-0.663456,-0.7450562
-0.81003046,-0.8715947,0.51794076,-0.76198006,-0.7561889,-0.7839716,-0.73999196,-0.81031847,-0.72909963
-0.7001777,-0.93128645,0.43304184,-0.7652451,-0.7746693,-0.7138509,-0.7432884,-0.68441504,-0.7317494
-0.644981,-0.6532684,0.28301284,-0.5790822,-0.56894463,-0.5840709,-0.5575197,-0.6474002,-0.54357326
-0.506752,-0.67314005,-0.122609764,-0.5976778,-0.59960145,-0.6128482,-0.5870235,-0.50419164,-0.5718366
-0.32208472,-0.83130413,0.61949337,-0.6128245,-0.6072332,-0.7537071,-0.58698696,-0.32549778,-0.560868
-0.57288796,-0.93878657,0.101249106,-0.79236287,-0.7962429,-0.7965186,-0.7749972,-0.56727225,-0.76170635
-0.33409816,-0.86000735,0.39664838,-0.65615463,-0.6494462,-0.7815256,-0.63917845,-0.33836684,-0.605499
-0.47190478,-0.8578159,-0.5915686,-0.7767496,-0.7744913,-0.8177649,-0.7696618,-0.47280407,-0.7616744
-0.7756403,-0.9223469,-0.5722152,-0.86944073,-0.8655237,-0.880144,-0.86157656,-0.77631986,-0.85732406
-0.51613265,-0.7943036,-0.47909558,-0.70321596,-0.71466416,-0.690031,-0.70256835,-0.5022744,-0.68293846
-0.14692897,-0.85204244,0.6509886,-0.60292834,-0.5948632,-0.74516475,-0.57878375,-0.15358683,-0.54294187
-0.34386522,-0.91791433,-0.8504128,-0.7965402,-0.7982403,-0.79121107,-0.80618495,-0.328288,-0.7763938
-0.8120671,-0.8325144,0.5461398,-0.7207109,-0.7283221,-0.7709618,-0.6943489,-0.8059536,-0.69286007
-0.4730349,-0.91485703,-0.7059938,-0.82316625,-0.8214977,-0.83378536,-0.81733197,-0.46917397,-0.8069549
-0.34055778,-0.9041532,-0.676057,-0.7781085,-0.78264356,-0.7925373,-0.78367615,-0.32124218,-0.76073474
-0.01339617,-0.8775772,-0.70297897,-0.68561196,-0.690784,-0.6848976,-0.7054011,0.011869182,-0.65826315
-0.6922977,-0.89908504,0.56287366,-0.7533334,-0.7465139,-0.7774821,-0.7290883,-0.69454044,-0.7137663
-0.33929724,-0.8287184,0.56791395,-0.62356263,-0.616352,-0.7478288,-0.601394,-0.34411278,-0.5713771
-0.44143587,-0.85921144,0.7443685,-0.6562804,-0.6563235,-0.7558919,-0.62239707,-0.44120595,-0.6050205
-0.453734,-0.90930146,-0.68364954,-0.8136545,-0.81333137,-0.8483398,-0.8152519,-0.4456235,-0.7975733
-0.29769212,-0.6737605,0.48417276,-0.49778232,-0.49618357,-0.5468078,-0.47888508,-0.2979228,-0.44884634
-0.29382944,-0.82225096,0.56980056,-0.6156586,-0.61236787,-0.71956915,-0.5956463,-0.29396436,-0.56502086
-0.31623796,-0.8467212,0.7039773,-0.62142664,-0.6161077,-0.68995476,-0.593167,-0.3206968,-0.56267583
0.8530105,-0.8023374,-0.80381376,-0.37589774,-0.37474933,-0.3871353,-0.4414015,0.85756826,-0.30252874
-0.5061913,-0.84833264,0.43485114,-0.6785779,-0.675625,-0.7401507,-0.6557781,-0.50507426,-0.63650453
-0.87619066,-0.8458851,-0.18623652,-0.8119852,-0.81005436,-0.80000144,-0.7991898,-0.8763485,-0.7970629
-0.8187102,-0.8457454,0.4587179,-0.7465249,-0.7428787,-0.7944166,-0.72358745,-0.81775826,-0.71701103
-0.7361809,-0.84789425,0.16696739,-0.75060236,-0.7487919,-0.8113174,-0.7324028,-0.7375565,-0.7258526
-0.91912115,-0.7832601,0.74430233,-0.6900701,-0.6830883,-0.7255448,-0.6623912,-0.9188135,-0.65524435
0.376755,-0.2232924,-0.006550846,-0.17470612,-0.15365535,-0.15341686,-0.17267257,0.3738159,-0.1332959
-0.47579375,-0.87027013,-0.00045283136,-0.7243538,-0.7278393,-0.7439045,-0.7114507,-0.46760145,-0.694285
-0.18165989,-0.8275513,0.6296669,-0.5900915,-0.580612,-0.716953,-0.5665063,-0.19035509,-0.5332125
-0.5785453,-0.93958503,0.16003591,-0.7953014,-0.79557186,-0.7992035,-0.77727497,-0.57608634,-0.76348925
-0.36093447,-0.9126826,-0.7967014,-0.8085156,-0.8034862,-0.81647706,-0.8086227,-0.36160213,-0.7882085
-0.7291973,-0.8757595,0.4183266,-0.74878097,-0.75119823,-0.77144504,-0.72600377,-0.7258559,-0.7192959
